word,points
arrogate,3
arrow,2
arrowhead,3
arrowroot,3
arse,3
arsenal,3
arsenate,3
arsenic,3
arson,3
arsonist,3
art,1
artefact,3
artemis,3
arterial,3
arteriole,3
arteriosclerosis,3
arteriosclerotic,3
artery,3
artful,3
arthritic,3
arthritis,3
arthropod,3
arthur,3
artichoke,3
article,1
articular,3
articulate,3
articulation,3
artifact,3
artifice,3
artificer,3
artificial,1
artificiality,3
artillery,3
artilleryman,3
artisan,3
artist,2
artiste,3
artistic,2
artistically,3
artistry,3
artless,3
arty,3
aryan,3
as,1
asbestos,3
ascend,3
ascendancy,3
ascendant,3
ascendency,3
ascendent,3
ascension,3
ascent,3
ascertain,3
ascertainable,3
ascetic,3
asceticism,3
ascot,3
ascribe,3
ascription,3
asepsis,3
aseptic,3
asexual,3
ash,3
ashamed,2
ashcan,3
ashen,3
ashlar,3
ashore,3
ashram,3
ashtray,3
ashy,3
asia,3
asian,3
asiatic,3
aside,2
asinine,3
ask,1
askance,3
askew,3
aslant,3
asleep,1
asocial,3
asp,3
asparagus,3
aspect,2
aspectual,3
aspen,3
asperity,3
asperse,3
aspersion,3
asphalt,3
asphodel,3
asphyxia,3
asphyxiate,3
asphyxiation,3
aspic,3
aspirant,3
aspirate,3
aspiration,3
aspire,3
aspirin,2
ass,3
assail,3
assailant,3
assassin,3
assassinate,3
assassination,3
assault,3
assay,3
assayer,3
assemblage,3
assemble,3
assembly,3
assemblyman,3
assent,3
assert,3
assertion,3
assertive,3
assess,3
assessment,3
assessor,3
asset,3
asseverate,3
asseveration,3
assiduous,3
assign,2
assignable,3
assignation,3
assignment,2
assimilate,3
assimilation,3
assist,2
assistance,2
assistant,1
assize,3
associate,2
association,1
associative,3
assonance,3
assonant,3
assort,3
assorted,3
assortment,3
assuage,3
assume,2
assumed,3
assuming,3
assumption,3
assumptive,3
assurance,3
assure,3
assured,3
assyria,3
astatine,3
aster,3
asterisk,3
asterism,3
astern,3
asteroid,3
asthma,3
asthmatic,3
astigmatic,3
astigmatism,3
astir,3
astonish,3
astonishing,3
astonishment,3
astound,3
astraddle,3
astrakhan,3
astral,3
astray,3
astride,3
astringency,3
astringent,3
astrobiology,3
astrodome,3
astrodynamics,3
astrogate,3
astrolabe,3
astrologer,3
astrological,3
astrology,3
astronaut,1
astronautic,3
astronautical,3
astronautics,3
astronomer,2
astronomic,3
astronomical,3
astronomy,3
astrophysical,3
astrophysicist,3
astrophysics,3
astute,3
asunder,3
asylum,3
asymmetric,3
asymmetrical,3
asymptote,3
at,1
atalanta,3
atavism,3
atavistic,3
ate,3
atelier,3
atheism,3
atheist,3
atheistic,3
atheistical,3
athena,3
athenaeum,3
athenian,3
athens,3
atherosclerosis,3
athirst,3
athlete,1
athletic,2
athletically,3
athletics,3
athwart,3
atilt,3
atlanta,3
atlantic,2
atlas,3
atmosphere,2
atmospheric,3
atmospherical,3
atmospherics,3
atoll,3
atom,1
atomic,2
atomise,3
atomism,3
atomize,3
atomizer,3
atonal,3
atonality,3
atone,3
atonement,3
atony,3
atop,3
atrium,3
